asin,brand,category,currency,image_filename,image_url,name,price,product_id,rating,reviews,source,url
B0CQKVC9J4,1.86 Fl Oz (Pack of 1),setting_spray,USD,prod_001257.jpg,https://m.media-amazon.com/images/I/31vqAJNhc2L._AC_UL320_.jpg,"JUNG SAEM MOOL Essential Mool Micro Fitting Mist | Micro-Fine Setting Spray for Makeup & Hydrating Primer for Face with Thermal Spring Water, Long-Lasting Fix & Dewy Finish, Korean Makeup (1.86 Fl Oz)",$21.00,prod_001257,,",",amazon,https://www.amazon.com/JUNG-SAEM-MOOL-Ultra-Fine-Long-Lasting/dp/B0CQKVC9J4/ref=sr_1_153
B0CLN7CHG8,($2.86$2.86/fluid ounce),setting_spray,USD,prod_001258.jpg,https://m.media-amazon.com/images/I/51riXTao94L._AC_UL320_.jpg,Kara Beauty Essentials Long Lasting Setting Spray - Hydrating Primer and One Size for Makeup - Infused with Lavender Water & Irish Sea Moss - Makeup Setting Spray for All-Day Freshness,$10.00,prod_001258,,,amazon,https://www.amazon.com/Kara-Beauty-Essentials-Formulated-Nourishing/dp/B0CLN7CHG8/ref=sr_1_154
B085P2FFSS,Hydrating2.7 Fl Oz (Pack of 1),setting_spray,USD,prod_001259.jpg,https://m.media-amazon.com/images/I/51PWLzsYsNL._AC_UL320_.jpg,"e.l.f. SKIN Holy Hydration! Hydrating Coconut Mist, Refreshes, Soothes & Invigorates Skin, Tropical Scent, 2.7 Fl Oz (Pack of 1)",$9.00,prod_001259,,",",amazon,https://www.amazon.com/l-f-Hydrating-Lightweight-Versatile-Invigorates/dp/B085P2FFSS/ref=sr_1_159
B0DSFNCPHV,($2.27$2.27/fluid ounce),setting_spray,USD,prod_001260.jpg,https://m.media-amazon.com/images/I/61hHYrw12vL._AC_UL320_.jpg,"2PCS Face Setting Spray for Makeup Set,Hydrating Matte Makeup Setting Spray for Face,Long-lasting Oil Control Glossy Fixing Spray Makeup,Waterproof Setting Spray for Women and Men",$7.98,prod_001260,,2,amazon,https://www.amazon.com/WENJLYJ-Setting-Hydrating-Long-lasting-Waterproof/dp/B0DSFNCPHV/ref=sr_1_160
B0DQNPBSV7,($7.40$7.40/fluid ounce),setting_spray,USD,prod_001261.jpg,https://m.media-amazon.com/images/I/612eP2OMgZL._AC_UL320_.jpg,"AEROBLEND Pro Makeup Setting Mist – Large 100 ml (3.38 fl oz) Matte Setting Spray – Waterproof, Smudge-Proof, Long-Lasting Hold",$25.00,prod_001261,,4,amazon,https://www.amazon.com/AEROBLEND-Pro-Makeup-Setting-Mist/dp/B0DQNPBSV7/ref=sr_1_161
B0F1N2NVNM,200+ bought in past month,setting_spray,USD,prod_001262.jpg,https://m.media-amazon.com/images/I/51GiddnAbSL._AC_UL320_.jpg,SHEGLAM Good Grip Hydrating Prime & Set Spray Oil Control Moisturizing Primer Smooth Fine Lines Oil And Silicone-Free Face Primer,$7.99,prod_001262,,,amazon,https://www.amazon.com/SHEGLAM-Hydrating-Control-Moisturizing-Silicone-Free/dp/B0F1N2NVNM/ref=sr_1_162
B0BT1D5J52,2.7 Fl Oz,setting_spray,USD,prod_001263.jpg,https://m.media-amazon.com/images/I/6145IvCjLzL._AC_UL320_.jpg,TIRTIR Mask Fit Make-up Fixer | 24H Transfer-Resistant Lightweight Non-Greasy Makeup Setting Spray 2.7 Fl Oz,$13.50,prod_001263,,4,amazon,https://www.amazon.com/dp/B0BT1D5J52
B0FDH5NPXL,50+ bought in past month,setting_spray,USD,prod_001264.jpg,https://m.media-amazon.com/images/I/81Er5gPpuDL._AC_UL320_.jpg,"Revolution Mini Matte Hero's Makeup Setting Duo, Translucent Loose Baking Powder & Matte Fixing Spray Minis, Travel-Size, Vegan & Cruelty-Free",$7.23,prod_001264,,4,amazon,https://www.amazon.com/Revolution-Setting-Translucent-Travel-Size-Cruelty-Free/dp/B0FDH5NPXL/ref=sr_1_167
B0149OHI0W,1 Fl Oz (Pack of 1),setting_spray,USD,prod_001265.jpg,https://m.media-amazon.com/images/I/51JOWs2TLaL._AC_UL320_.jpg,"L'Oreal Paris Cosmetics Infallible Pro-Spray and Makeup Extender, Setting Spray,Travel size 30 ml/1.0 fluid ounce",$7.99,prod_001265,,4,amazon,https://www.amazon.com/LOreal-Paris-Cosmetics-Infallible-Pro-Spray/dp/B0149OHI0W/ref=sr_1_168
B01DEYPNPU,Color Correction0.33 Fl Oz (Pack of 1),setting_spray,USD,prod_001266.jpg,https://m.media-amazon.com/images/I/515MJY3LvML._AC_UL320_.jpg,"NYX PROFESSIONAL MAKEUP Glitter Primer, Long-Lasting Glitter Hold",$6.00,prod_001266,,4,amazon,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Glitter-Primer/dp/B01DEYPNPU/ref=sr_1_169
B00SD8K40C,Breakage Control,setting_spray,USD,prod_001267.jpg,https://m.media-amazon.com/images/I/71UbVytwF2L._AC_UL320_.jpg,"TRESemmé Extra Hold Hairspray for 24-Hour Frizz Control, with Pro Lock Tech 4.2 oz",$4.98,prod_001267,,4,amazon,https://www.amazon.com/TRESemm%C3%A9-TRES-Hair-Spray-Extra/dp/B00SD8K40C/ref=sr_1_170_us_f3_0b_fs
B0F6SBKTN5,($1.99$1.99/fluid ounce),setting_spray,USD,prod_001268.jpg,https://m.media-amazon.com/images/I/61LYOevlCqL._AC_UL320_.jpg,Matte Makeup Setting Spray | Mattifying Lock In Makeup Mist Keeps Fresh All Day | Add Vibrance & Shine to Your Look | Oil-Free Vegan Formula for All Skin Types | 4 oz,$7.95,prod_001268,,4,amazon,https://www.amazon.com/Setting-Mattifying-Vibrance-Oil-Free-Formula/dp/B0F6SBKTN5/ref=sr_1_171
B0DY7SLQJ2,($113.19$113.19/ounce),setting_spray,USD,prod_001269.jpg,https://m.media-amazon.com/images/I/61XysdP-1dL._AC_UL320_.jpg,"2 Pack Makeup Setting Spray for Face, Lightweight Long Lasting Smudge-proof Makeup Finishing Spray Set, Hydrating, Waterproof, All-Day Wear Refreshing Face Mist",$7.98,prod_001269,,2,amazon,https://www.amazon.com/Lightweight-Smudge-proof-Finishing-Waterproof-Refreshing/dp/B0DY7SLQJ2/ref=sr_1_172
B0B57TXZ2N,2 Piece Set,setting_spray,USD,prod_001270.jpg,https://m.media-amazon.com/images/I/61oZz44OiBL._AC_UL320_.jpg,"NYX PROFESSIONAL MAKEUP Marshmellow Smoothing Primer + Makeup Setting Spray, Matte Finish, Long-Lasting Face Mist for up to 16HR Wear (Pack of 2)",$26.94,prod_001270,,4,amazon,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Marshmellow-Smoothing/dp/B0B57TXZ2N/ref=sr_1_173
B0FVT77ZLL,3.38 Fl Oz (Pack of 1),setting_spray,USD,prod_001271.jpg,https://m.media-amazon.com/images/I/71LQ-32prpL._AC_UL320_.jpg,"ANUA PDRN Collagen Glow Facial Serum Spray, Hydrating Face Mist, Hyaluronic Acid, dewy glass finish, All Skin Types, Instant Plumping Hydration, Firming Care, Korean Skincare, 3.38 fl oz",$16.80,prod_001271,,",",amazon,https://www.amazon.com/ANUA-Collagen-Hydrating-Hyaluronic-Hydration/dp/B0FVT77ZLL/ref=sr_1_174
B0F2B94YZ2,8 Fl Oz (Pack of 2),setting_spray,USD,prod_001272.jpg,https://m.media-amazon.com/images/I/710dbaPSBhL._AC_UL320_.jpg,"HERITAGE STORE Rosewater 2-Pack - Refreshing Face Mist w/Damask Rose, All Skin Types - Hydrating Rose Water Spray for Glowing Skin, No Dyes or Alcohol, Hypoallergenic, Vegan, 60-Day Guarantee, 8oz ea",$19.76,prod_001272,,2,amazon,https://www.amazon.com/HERITAGE-STORE-Rosewater-2-Pack-Hypoallergenic/dp/B0F2B94YZ2/ref=sr_1_175
B0FM8TBDP2,($18.00$18.00/fluid ounce),setting_spray,USD,prod_001273.jpg,https://m.media-amazon.com/images/I/7138ZxijPSL._AC_UL320_.jpg,MAC Fix + Stay Over Weightless Long-Lasting Setting Spray (1 Fl Oz / 30 mL) (1 Fl Oz / 30 mL),$18.00,prod_001273,,4,amazon,https://www.amazon.com/MAC-Weightless-Long-Lasting-Setting-Spray/dp/B0FM8TBDP2/ref=sr_1_176
B09W4KMQ4X,black8 Count (Pack of 1),setting_spray,USD,prod_001274.jpg,https://m.media-amazon.com/images/I/61Wf76qgtCL._AC_UL320_.jpg,"8Pcs of Triangular Powder Puff Makeup Sponges, Made of Super-soft Velvet, Designed for Contouring, Eye, and Corner, Beauty Blender Foundation Mixing Container.(Black)",$4.99,prod_001274,,4,amazon,https://www.amazon.com/Triangular-Super-soft-Contouring-Foundation-Container/dp/B09W4KMQ4X/ref=sr_1_177
B09MHDDWT7,1.01 Ounce (Pack of 1),setting_spray,USD,prod_001275.jpg,https://m.media-amazon.com/images/I/61XX1uzP5aL._AC_UL320_.jpg,"NYX PROFESSIONAL MAKEUP Plump Right Back Plumping Serum & Primer, With Hyaluronic Acid",$14.45,prod_001275,,4,amazon,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Plumping-Hyaluronic/dp/B09MHDDWT7/ref=sr_1_178
B07KY3L88W,Rose Petal3 ounce (Pack of 1),setting_spray,USD,prod_001276.jpg,https://m.media-amazon.com/images/I/71ijSb5fRKL._AC_UL320_.jpg,"Thayers Alcohol-Free Witch Hazel Facial Mist Toner with Aloe Vera, Rose Petal, Soothing and Hydrating, for All Skin Types, Trial Size, 3 oz",$5.26,prod_001276,,",",amazon,https://www.amazon.com/Thayers-Trial-Alcohol-free-Petal-Facial/dp/B07KY3L88W/ref=sr_1_179
B0FK5LW6S9,Hydrating1.6 Fl Oz (Pack of 1),setting_spray,USD,prod_001277.jpg,https://m.media-amazon.com/images/I/61A-99u73kL._AC_UL320_.jpg,"essence | Jelly Grip Refreshing Aloe Spray | Hydrating Gel-to-Mist with Aloe Vera for a Fresh, Glowy Finish | Preps, Sets & Refreshes Makeup | Vegan & Cruelty-Free",$5.97,prod_001277,,",",amazon,https://www.amazon.com/essence-Refreshing-Hydrating-Refreshes-Cruelty-Free/dp/B0FK5LW6S9/ref=sr_1_180
B07NGV8XMK,Even Toning1.12 Ounce (Pack of 1),setting_spray,USD,prod_001278.jpg,https://m.media-amazon.com/images/I/61YRb53rboL._AC_UL320_.jpg,"Revolution, Loose Baking Powder, Makeup Setting Powder, Long-Lasting Coverage, Mattifies & Reduces Shine, Banana Deep, 1.12 oz",$5.76,prod_001278,,4,amazon,https://www.amazon.com/Revolution-Makeup-Long-Lasting-Coverage-Mattifies/dp/B07NGV8XMK/ref=sr_1_181
