2026-05-01 23:57:17 | api | INFO | search_by_image:173 | Embedder + search: 6.23s
2026-05-01 23:59:12 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-01 23:59:12 | api | INFO | search_by_image:164 | Image decode: 0.02s
2026-05-01 23:59:12 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-01 23:59:12 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-01 23:59:12 | api | INFO | search_by_image:173 | Embedder + search: 0.27s
2026-05-02 00:06:06 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-02 00:06:14 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-02 00:06:29 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:06:29 | api | INFO | search_by_image:164 | Image decode: 0.08s
2026-05-02 00:06:29 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-02 00:06:29 | api | INFO | search_by_image:168 | Engine load: 0.12s
2026-05-02 00:06:29 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:06:36 | api | INFO | search_by_image:173 | Embedder + search: 6.65s
2026-05-02 00:06:55 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:06:55 | api | INFO | search_by_image:164 | Image decode: 0.00s
2026-05-02 00:06:55 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:06:55 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:06:55 | api | INFO | search_by_image:173 | Embedder + search: 0.34s
2026-05-02 00:08:05 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:08:05 | api | INFO | search_by_image:164 | Image decode: 0.02s
2026-05-02 00:08:05 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:08:05 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:08:05 | api | INFO | search_by_image:173 | Embedder + search: 0.45s
2026-05-02 00:09:10 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:09:10 | api | INFO | search_by_image:164 | Image decode: 0.01s
2026-05-02 00:09:10 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:09:10 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:09:10 | api | INFO | search_by_image:173 | Embedder + search: 0.34s
2026-05-02 00:10:27 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:10:27 | api | INFO | search_by_image:164 | Image decode: 0.00s
2026-05-02 00:10:27 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:10:27 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:10:27 | api | INFO | search_by_image:173 | Embedder + search: 0.36s
2026-05-02 00:10:55 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:10:56 | api | INFO | search_by_image:164 | Image decode: 0.01s
2026-05-02 00:10:56 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:10:56 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:10:56 | api | INFO | search_by_image:173 | Embedder + search: 0.40s
2026-05-02 00:42:29 | api | INFO | startup_embedder:70 | Pre-loading CLIP embedder at startup...
2026-05-02 00:42:36 | api | INFO | startup_embedder:79 | ✅ Embedder loaded successfully at startup
2026-05-02 00:44:56 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:44:56 | api | INFO | search_by_image:164 | Image decode: 0.05s
2026-05-02 00:44:56 | api | INFO | get_engine:58 | Initializing GlamSearchEngine...
2026-05-02 00:44:56 | api | INFO | search_by_image:168 | Engine load: 0.13s
2026-05-02 00:44:56 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:45:03 | api | INFO | search_by_image:173 | Embedder + search: 6.69s
2026-05-02 00:45:34 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:45:34 | api | INFO | search_by_image:164 | Image decode: 0.02s
2026-05-02 00:45:34 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:45:34 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:45:34 | api | INFO | search_by_image:173 | Embedder + search: 0.37s
2026-05-02 00:45:48 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:45:48 | api | INFO | search_by_image:164 | Image decode: 0.01s
2026-05-02 00:45:48 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:45:48 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:45:49 | api | INFO | search_by_image:173 | Embedder + search: 0.43s
2026-05-02 00:45:57 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:45:57 | api | INFO | search_by_image:164 | Image decode: 0.01s
2026-05-02 00:45:57 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:45:57 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:45:58 | api | INFO | search_by_image:173 | Embedder + search: 0.43s
2026-05-02 00:46:13 | api | INFO | search_by_image:160 | File read: 0.00s
2026-05-02 00:46:13 | api | INFO | search_by_image:164 | Image decode: 0.00s
2026-05-02 00:46:13 | api | INFO | search_by_image:168 | Engine load: 0.00s
2026-05-02 00:46:13 | api | INFO | search_by_image:171 | Starting embedder...
2026-05-02 00:46:14 | api | INFO | search_by_image:173 | Embedder + search: 0.45s
